{'./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log': './lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log'}
Reading File:  ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log
Number of lines in log file:  3755
Number of lines in uart file:  30822
Test contains the following single or groups of events:
1 memory, 0 timeout, 0 other

Mem event group 0, File: ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log
[2022-12-19 05:19:35] error addr: 0x51258108, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125810c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258110, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258114, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258118, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125811c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258120, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258124, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258128, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125812c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258130, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258134, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258138, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125813c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258140, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258144, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258148, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125814c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258150, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258154, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258158, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125815c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258160, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258164, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258168, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125816c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258170, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258174, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258178, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125817c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258180, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258184, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x51258188, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125818c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] ERRORS (32-bit words): 1024
[2022-12-19 05:19:36] ERRORS (128-bit words): 106
[2022-12-19 05:19:36] error addr: 0x5125a000, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a004, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a008, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a00c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a010, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a014, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a018, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a01c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a020, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a024, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a028, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a02c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a030, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a034, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a038, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a03c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a040, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a044, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a048, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a04c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a050, content: 0x00000000, expected: 0xa5a5a5a5
